800	11.01	0.18
801	72.28	0.18
802	20.94	0.19
803	57.93	0.06
804	33.81	0.14
805	71.14	0.14
806	22.84	0.17
807	25.13	0.07
808	29.96	0.10
809	13.49	0.20
810	78.70	0.07
811	19.77	0.15
812	68.56	0.16
813	27.31	0.06
814	24.00	0.12
815	33.02	0.12
816	51.06	0.06
817	32.41	0.06
818	15.41	0.16
819	8.19	0.09
820	60.79	0.12
821	21.69	0.08
822	14.00	0.15
823	15.82	0.09
824	41.19	0.18
825	77.29	0.14
826	33.39	0.11
827	21.48	0.13
828	21.53	0.12
829	63.05	0.07
830	78.57	0.05
831	44.34	0.08
832	49.23	0.16
833	28.99	0.10
834	73.25	0.11
835	71.44	0.14
836	67.11	0.05
837	27.44	0.09
838	28.99	0.20
839	29.01	0.12
840	57.55	0.05
841	35.63	0.06
842	47.07	0.12
843	34.60	0.07
844	38.96	0.07
845	73.03	0.19
846	50.33	0.12
847	73.31	0.15
848	74.74	0.15
849	41.64	0.10
850	7.18	0.06
851	58.02	0.07
852	73.81	0.10
853	37.54	0.12
854	56.13	0.17
855	49.32	0.05
856	11.48	0.11
857	75.27	0.16
858	31.89	0.17
859	26.41	0.08
860	62.12	0.19
861	19.49	0.09
862	15.73	0.18
863	73.55	0.18
864	7.51	0.20
865	68.20	0.12
866	57.97	0.19
867	59.73	0.07
868	11.21	0.19
869	46.86	0.15
870	70.46	0.18
871	38.10	0.11
872	17.71	0.07
873	77.17	0.16
874	63.39	0.19
875	50.66	0.08
876	77.51	0.06
877	24.69	0.18
878	50.24	0.14
879	28.74	0.19
880	60.89	0.16
881	23.92	0.11
882	63.28	0.14
883	65.82	0.06
884	25.21	0.13
885	73.67	0.17
886	57.38	0.16
887	63.96	0.09
888	33.11	0.14
889	14.57	0.17
890	38.28	0.08
891	19.25	0.11
892	48.11	0.16
893	40.42	0.09
894	29.26	0.19
895	8.65	0.17
896	19.81	0.18
897	34.07	0.18
898	36.38	0.16
899	8.11	0.09
900	62.20	0.20
901	27.92	0.10
902	16.15	0.12
903	66.17	0.13
904	70.74	0.06
905	37.22	0.16
906	45.06	0.15
907	19.09	0.18
908	61.55	0.11
909	20.51	0.05
910	27.16	0.13
911	58.93	0.12
912	24.00	0.14
913	52.93	0.11
914	30.56	0.12
915	51.16	0.17
916	78.40	0.08
917	28.41	0.20
918	64.58	0.08
919	57.75	0.06
920	22.64	0.06
921	22.40	0.11
922	77.21	0.10
923	78.33	0.19
924	61.12	0.19
925	65.61	0.07
926	35.86	0.14
927	15.18	0.17
928	16.77	0.18
929	9.28	0.13
930	31.03	0.07
931	62.14	0.08
932	37.33	0.05
933	51.83	0.12
934	42.15	0.11
935	5.29	0.17
936	68.43	0.10
937	60.08	0.07
938	73.86	0.17
939	22.92	0.10
940	19.46	0.13
941	43.86	0.12
942	35.66	0.10
943	15.87	0.08
944	10.10	0.11
945	32.83	0.20
946	43.69	0.06
947	14.56	0.07
948	50.98	0.19
949	18.98	0.14
950	72.23	0.15
951	13.54	0.12
952	23.12	0.08
953	13.63	0.20
954	15.91	0.08
955	30.06	0.20
956	48.16	0.19
957	20.55	0.05
958	5.91	0.08
959	77.41	0.19
960	17.42	0.10
961	27.93	0.06
962	37.22	0.11
963	12.31	0.15
964	12.99	0.07
965	70.30	0.08
966	49.70	0.10
967	78.52	0.18
968	32.84	0.11
969	38.39	0.06
970	30.07	0.10
971	76.35	0.17
972	44.09	0.08
973	14.45	0.15
974	46.56	0.05
975	78.68	0.15
976	6.34	0.20
977	36.39	0.08
978	49.44	0.10
979	69.21	0.17
980	77.15	0.14
981	12.21	0.08
982	35.40	0.17
983	77.35	0.19
984	76.66	0.20
985	38.17	0.13
986	45.68	0.13
987	62.10	0.13
988	43.86	0.09
989	54.36	0.11
990	74.75	0.20
991	75.08	0.09
992	36.96	0.11
993	33.29	0.06
994	50.70	0.15
995	74.45	0.06
996	31.12	0.17
997	35.95	0.08
998	11.36	0.14
999	30.50	0.06
1000	70.30	0.05
1001	11.37	0.18
1002	74.74	0.17
