800	hosting	0.98
801	claim	1.58
802	conference	1.47
802	call	1.58
803	trading	1.82
804	software	0.52
805	recovery	1.80
806	transfer	0.61
807	gas/electricity	1.66
808	classes	0.59
809	rehab	0.71
810	treatment	1.82
811	cord	1.23
811	blood	1.02
812	mesothelioma	1.13
813	structured	1.61
813	settlement	1.18
814	vioxx	1.37
814	attorney	1.00
815	secure	1.73
815	online	1.06
815	back	0.52
815	up	0.88
816	agile	0.58
816	management	0.64
816	software	0.77
817	crm	1.42
817	for	1.44
817	financial	1.11
818	disaster	0.87
818	recovery	1.29
818	planning	1.23
818	for	0.73
818	it	0.61
819	tracking	0.63
819	a	1.74
819	vehicle	1.86
820	applications	1.66
820	in	1.52
820	the	1.55
820	cloud	0.84
821	project	1.28
821	management	1.26
821	with	1.32
821	scrum	1.91
822	servers	1.43
822	for	1.67
822	businesses	1.63
823	android	1.79
823	application	1.68
823	developers	1.31
824	android	1.36
824	app	1.55
824	developers	2.00
825	training	1.90
825	for	0.73
825	indesign	1.58
826	teach	1.04
826	yourself	1.07
826	web	1.47
826	development	1.90
827	web	1.01
827	applications	1.23
827	developers	1.67
828	android	0.59
828	application	1.87
828	developer	1.66
829	android	1.84
829	app	1.24
829	developer	1.83
830	app	0.65
830	developer	1.06
830	android	1.27
831	android	1.39
831	developer	1.78
831	app	0.99
832	mobile	0.73
832	applications	1.21
832	developers	1.06
833	design	0.55
833	for	0.74
833	programmers	1.42
834	cloud	1.01
834	computing	1.92
834	for	1.78
834	dummies	1.50
835	android	1.81
835	application	1.65
835	development	0.96
835	uk	1.40
836	web	1.58
836	design	0.77
836	and	1.83
836	marketing	0.84
836	solutions	1.19
836	for	1.90
836	business	0.86
836	websites	1.70
837	developers	0.72
837	mobile	1.49
837	applications	0.71
838	training	1.96
838	indesign	1.06
839	apps	0.63
839	development	0.86
840	computing	0.99
840	for	0.53
840	dummies	1.31
841	bpp	1.54
841	learning	1.06
841	management	0.74
841	system	1.37
842	mobile	1.30
842	apps	1.07
842	developers	1.92
843	joomla	1.51
843	designers	1.67
844	best	0.68
844	pay	1.13
844	as	1.20
844	you	1.97
844	go	1.61
844	sim	1.11
844	card	1.48
845	locks	0.52
845	and	0.56
845	locksmithing	1.65
846	development	0.96
846	of	0.92
846	mobile	1.04
847	android	1.72
847	app	1.97
847	development	1.45
847	software	1.68
848	best	0.89
848	pay	1.22
848	as	0.79
848	you	0.69
848	go	0.82
848	sims	1.68
849	cheap	1.14
849	pay	1.56
849	as	0.56
849	you	1.33
849	go	1.46
849	sim	1.94
850	app	1.57
850	development	1.13
850	for	0.52
850	android	0.86
851	best	0.56
851	pay	0.97
851	as	0.53
851	you	1.82
851	go	1.57
851	sim	0.81
852	android	1.17
852	development	1.62
852	app	1.27
853	android	1.62
853	apps	1.64
853	development	1.54
854	android	1.41
854	development	1.44
854	apps	1.08
855	team	0.55
855	building	1.02
855	companies	0.96
855	uk	1.51
856	mobile	0.70
856	design	1.76
856	and	1.34
856	development	0.95
857	pay	1.66
857	as	0.78
857	you	1.70
857	go	1.46
857	sim	1.39
857	card	1.08
857	only	0.94
858	training	0.64
858	for	1.39
858	mcse	1.08
859	ink	1.52
859	8560	1.52
860	sim	1.76
860	card	1.38
860	only	2.00
860	pay	1.35
860	as	0.56
860	you	0.95
860	go	1.36
861	micro	0.61
861	stock	1.00
861	photo	1.01
861	sites	0.53
862	pay	1.76
862	as	1.08
862	you	1.70
862	go	1.97
862	sim	1.90
862	offers	0.94
863	sim	1.15
863	card	1.50
863	deals	0.65
863	pay	1.90
863	as	1.60
863	you	1.31
863	go	1.75
864	cheap	1.98
864	mobile	0.60
864	sim	0.75
864	card	1.44
865	itil	1.23
865	v3	1.24
865	foundations	1.82
865	certification	1.19
866	make	0.55
866	money	1.20
866	with	0.88
866	stock	1.99
866	photography	1.93
867	uk	1.98
867	stock	1.82
867	photography	0.89
868	options	0.59
